報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,
2025年09週(02月24日～03月02日),2025年03月05日作成,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,86,0.18,8,0.02,10,0.02,12,0.02,8,0.02,8,0.02,9,0.02,7,0.01,11,0.02,13,0.03
北海道,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0
青森県,1,0.17,0,0,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0
岩手県,3,0.16,0,0,1,0.05,0,0,0,0,0,0,2,0.11,0,0,0,0,0,0
宮城県,1,0.1,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0
秋田県,1,0.13,0,0,0,0,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0
山形県,1,0.1,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0
福島県,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14
茨城県,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08
栃木県,5,0.71,0,0,1,0.14,1,0.14,0,0,0,0,0,0,0,0,0,0,3,0.43
群馬県,2,0.22,0,0,0,0,0,0,0,0,0,0,1,0.11,0,0,1,0.11,0,0
埼玉県,3,0.25,0,0,1,0.08,1,0.08,0,0,0,0,0,0,1,0.08,0,0,0,0
千葉県,4,0.44,0,0,1,0.11,0,0,1,0.11,1,0.11,0,0,0,0,1,0.11,0,0
東京都,7,0.28,0,0,0,0,1,0.04,1,0.04,1,0.04,0,0,1,0.04,0,0,3,0.12
神奈川県,5,0.42,0,0,0,0,0,0,1,0.08,0,0,1,0.08,2,0.17,1,0.08,0,0
新潟県,1,0.08,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0
富山県,1,0.2,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,1,0.17,0,0,0,0,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0
山梨県,2,0.2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,1,0.08,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,2,0.4,0,0,0,0,1,0.2,0,0,1,0.2,0,0,0,0,0,0,0,0
静岡県,4,0.4,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,1,0.1,2,0.2
愛知県,3,0.2,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0,1,0.07,1,0.07
三重県,2,0.22,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11,1,0.11,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,3,0.18,1,0.06,1,0.06,0,0,0,0,0,0,0,0,0,0,1,0.06,0,0
兵庫県,2,0.14,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07
奈良県,5,0.83,0,0,1,0.17,1,0.17,0,0,0,0,2,0.33,1,0.17,0,0,0,0
和歌山県,1,0.09,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,2,0.4,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,1,0.2,0,0
島根県,1,0.13,0,0,0,0,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,2,0.4,1,0.2,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0
広島県,2,0.1,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,2,0.29,0,0,1,0.14,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0
香川県,1,0.25,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,2,0.13,1,0.07,0,0,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0
佐賀県,1,0.17,0,0,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0
長崎県,2,0.17,1,0.08,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0
熊本県,1,0.07,0,0,0,0,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0
大分県,2,0.18,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,1,0.09,0,0
宮崎県,1,0.14,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08
沖縄県,2,0.29,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,1,0.14,0,0
,,,,,,,,,,,,,,,,,,,,
無菌性髄膜炎,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,97,0.2,7,0.01,16,0.03,11,0.02,15,0.03,7,0.01,12,0.02,4,0.01,15,0.03,10,0.02
北海道,2,0.09,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04
青森県,7,1.17,0,0,1,0.17,0,0,3,0.5,0,0,3,0.5,0,0,0,0,0,0
岩手県,2,0.11,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,1,0.05
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,1,0.14,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0
茨城県,2,0.15,0,0,0,0,1,0.08,1,0.08,0,0,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,2,0.22,1,0.11,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,6,0.5,1,0.08,1,0.08,1,0.08,1,0.08,0,0,1,0.08,0,0,1,0.08,0,0
千葉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東京都,5,0.2,1,0.04,3,0.12,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0
神奈川県,7,0.58,0,0,1,0.08,1,0.08,3,0.25,1,0.08,0,0,0,0,1,0.08,0,0
新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0
福井県,4,0.67,0,0,0,0,0,0,1,0.17,0,0,0,0,0,0,2,0.33,1,0.17
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,6,1.2,2,0.4,2,0.4,0,0,1,0.2,0,0,0,0,0,0,0,0,1,0.2
静岡県,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0
愛知県,3,0.2,0,0,1,0.07,0,0,1,0.07,0,0,0,0,1,0.07,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,1,0.14,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,10,0.59,0,0,1,0.06,1,0.06,2,0.11,2,0.11,1,0.06,2,0.14,0,0,1,0.06
兵庫県,7,0.5,1,0.07,0,0,3,0.21,0,0,0,0,1,0.07,0,0,2,0.14,0,0
奈良県,2,0.33,0,0,1,0.17,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,4,0.8,0,0,1,0.2,0,0,0,0,0,0,2,0.4,0,0,1,0.2,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0
広島県,2,0.1,0,0,1,0.05,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0
山口県,2,0.22,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0,1,0.11,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,1,0.25,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,2,0.25,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0,0,0,1,0.13
福岡県,1,0.07,0,0,0,0,0,0,0,0,0,0,1,0.07,0,0,0,0,0,0
佐賀県,2,0.33,0,0,0,0,0,0,0,0,1,0.17,0,0,0,0,1,0.17,0,0
長崎県,3,0.25,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,2,0.17
熊本県,4,0.27,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0,2,0.13,1,0.07
大分県,2,0.18,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,1,0.09,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,4,0.57,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,2,0.29,1,0.14
,,,,,,,,,,,,,,,,,,,,
マイコプラズマ肺炎,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2693,5.61,369,0.77,534,1.11,410,0.85,302,0.63,296,0.62,226,0.47,203,0.43,178,0.37,175,0.36
北海道,145,6.3,13,0.57,39,1.7,23,1,19,0.83,14,0.61,11,0.48,7,0.3,13,0.57,6,0.26
青森県,75,12.5,5,0.83,16,2.67,10,1.67,9,1.5,12,2,2,0.33,6,1,6,1,9,1.5
岩手県,105,5.53,26,1.37,16,0.84,16,0.84,12,0.63,13,0.68,9,0.47,4,0.21,7,0.37,2,0.11
宮城県,39,3.9,5,0.5,8,0.8,4,0.4,7,0.7,5,0.5,4,0.4,2,0.2,2,0.2,2,0.2
秋田県,45,5.63,4,0.5,10,1.25,4,0.5,6,0.75,5,0.63,4,0.5,5,0.63,2,0.25,5,0.63
山形県,73,7.3,10,1,12,1.2,10,1,8,0.8,7,0.7,8,0.8,8,0.8,4,0.4,6,0.6
福島県,38,5.43,6,0.86,8,1.14,6,0.86,3,0.43,3,0.43,5,0.71,5,0.71,1,0.14,1,0.14
茨城県,75,5.77,13,1,18,1.38,12,0.92,2,0.15,11,0.85,5,0.38,3,0.23,6,0.46,5,0.38
栃木県,24,3.43,2,0.29,4,0.57,4,0.57,2,0.29,6,0.86,2,0.29,1,0.14,0,0,3,0.43
群馬県,57,6.33,5,0.56,9,1,8,0.89,5,0.56,11,1.22,7,0.78,5,0.56,3,0.33,4,0.44
埼玉県,102,8.5,24,2,19,1.58,11,0.92,10,0.83,9,0.75,6,0.5,11,0.92,3,0.25,9,0.75
千葉県,25,2.78,5,0.56,6,0.67,4,0.44,1,0.11,2,0.22,3,0.33,1,0.11,1,0.11,2,0.22
東京都,114,4.56,17,0.68,26,1.04,15,0.6,14,0.56,11,0.44,8,0.32,11,0.44,8,0.32,4,0.16
神奈川県,29,2.42,2,0.17,10,0.83,1,0.08,3,0.25,5,0.42,1,0.08,2,0.17,4,0.33,1,0.08
新潟県,106,8.15,16,1.23,18,1.38,17,1.31,12,0.92,12,0.92,12,0.92,5,0.38,5,0.38,9,0.69
富山県,31,6.2,0,0,5,1,5,1,3,0.6,3,0.6,6,1.2,3,0.6,3,0.6,3,0.6
石川県,31,6.2,7,1.4,5,1,6,1.2,2,0.4,1,0.2,0,0,3,0.6,4,0.8,3,0.6
福井県,74,12.33,4,0.67,7,1.17,8,1.33,12,2,17,2.83,9,1.5,7,1.17,2,0.33,8,1.33
山梨県,28,2.8,5,0.5,4,0.4,4,0.4,5,0.5,3,0.3,1,0.1,3,0.3,2,0.2,1,0.1
長野県,62,5.17,3,0.25,15,1.25,4,0.33,6,0.5,7,0.58,13,1.08,6,0.5,5,0.42,3,0.25
岐阜県,56,11.2,10,2,9,1.8,9,1.8,6,1.2,8,1.6,2,0.4,2,0.4,1,0.2,9,1.8
静岡県,42,4.2,4,0.4,15,1.5,6,0.6,2,0.2,5,0.5,1,0.1,1,0.1,7,0.7,1,0.1
愛知県,106,7.07,10,0.67,21,1.4,16,1.07,8,0.53,11,0.73,12,0.8,10,0.67,10,0.67,8,0.53
三重県,51,5.67,2,0.22,6,0.67,12,1.33,7,0.78,7,0.78,4,0.44,3,0.33,5,0.56,5,0.56
滋賀県,18,2.57,0,0,3,0.43,3,0.43,1,0.14,1,0.14,1,0.14,3,0.43,2,0.29,4,0.57
京都府,52,7.43,6,0.86,10,1.43,12,1.71,2,0.29,9,1.29,2,0.29,3,0.43,6,0.86,2,0.29
大阪府,71,4.18,7,0.39,12,0.67,10,0.56,8,0.44,9,0.5,9,0.5,4,0.29,5,0.28,7,0.39
兵庫県,169,12.07,13,0.93,43,3.07,49,3.5,33,2.36,7,0.5,7,0.5,6,0.43,6,0.43,5,0.36
奈良県,32,5.33,6,1,5,0.83,3,0.5,2,0.33,8,1.33,4,0.67,3,0.5,1,0.17,0,0
和歌山県,39,3.55,7,0.64,11,1,4,0.36,7,0.64,1,0.09,2,0.18,1,0.09,3,0.27,3,0.27
鳥取県,29,5.8,7,1.4,3,0.6,7,1.4,3,0.6,2,0.4,2,0.4,0,0,2,0.4,3,0.6
島根県,40,5,4,0.5,6,0.75,7,0.88,5,0.63,5,0.63,4,0.5,5,0.63,1,0.13,3,0.38
岡山県,32,6.4,17,3.4,3,0.6,2,0.4,1,0.2,1,0.2,0,0,2,0.4,6,1.2,0,0
広島県,175,8.75,50,2.5,29,1.45,25,1.25,16,0.8,11,0.55,9,0.45,20,1,6,0.3,9,0.45
山口県,34,3.78,5,0.56,7,0.78,3,0.33,4,0.44,2,0.22,2,0.22,4,0.44,4,0.44,3,0.33
徳島県,11,1.57,0,0,3,0.43,1,0.14,3,0.43,0,0,0,0,3,0.43,1,0.14,0,0
香川県,20,5,8,1.6,5,1,0,0,0,0,2,0.4,2,0.4,1,0.2,1,0.25,1,0.2
愛媛県,36,6,2,0.33,3,0.5,10,1.67,5,0.83,3,0.5,4,0.67,4,0.67,2,0.33,3,0.5
高知県,60,7.5,3,0.38,15,1.88,8,1,6,0.75,8,1,8,1,3,0.38,6,0.75,3,0.38
福岡県,104,6.93,10,0.67,27,1.8,18,1.2,12,0.8,11,0.73,9,0.6,7,0.47,5,0.33,5,0.33
佐賀県,33,5.5,5,0.83,4,0.67,6,1,4,0.67,4,0.67,1,0.17,4,0.67,4,0.67,1,0.17
長崎県,58,4.83,6,0.5,10,0.83,10,0.83,6,0.5,6,0.5,3,0.25,6,0.5,5,0.42,6,0.5
熊本県,43,2.87,5,0.33,9,0.6,6,0.4,3,0.2,6,0.4,7,0.47,4,0.27,2,0.13,1,0.07
大分県,20,1.82,1,0.09,2,0.18,5,0.45,2,0.18,2,0.18,3,0.27,2,0.18,1,0.09,2,0.18
宮崎県,24,3.43,2,0.29,7,1,0,0,6,0.86,1,0.14,4,0.57,2,0.29,1,0.14,1,0.14
鹿児島県,48,4,4,0.33,9,0.75,6,0.5,7,0.58,7,0.58,8,0.67,0,0,3,0.25,4,0.33
沖縄県,12,1.71,3,0.43,2,0.29,0,0,2,0.29,2,0.29,0,0,2,0.29,1,0.14,0,0
,,,,,,,,,,,,,,,,,,,,
クラミジア肺炎,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,16,0.03,0,0,2,0,3,0.01,3,0.01,1,0,1,0,1,0,3,0.01,2,0
北海道,2,0.09,0,0,0,0,1,0.04,0,0,1,0.04,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,1,0.11,0,0,0,0,0,0,0,0,0,0,1,0.11,0,0,0,0,0,0
埼玉県,2,0.17,0,0,0,0,0,0,2,0.17,0,0,0,0,0,0,0,0,0,0
千葉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東京都,2,0.08,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04,0,0
神奈川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,2,0.33,0,0,1,0.17,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,2,0.29,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,1,0.14,0,0
大阪府,5,0.29,0,0,1,0.06,1,0.06,0,0,0,0,0,0,0,0,1,0.06,2,0.11
兵庫県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
感染性胃腸炎（ロタウイルス）,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,263,0.55,12,0.02,4,0.01,12,0.02,15,0.03,31,0.06,29,0.06,34,0.07,52,0.11,74,0.15
北海道,16,0.7,0,0,0,0,3,0.13,0,0,1,0.04,1,0.04,0,0,5,0.22,6,0.26
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,5,0.26,0,0,0,0,0,0,2,0.11,1,0.05,0,0,0,0,1,0.05,1,0.05
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0
山形県,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,2,0.2
福島県,5,0.71,0,0,0,0,0,0,1,0.14,0,0,1,0.14,2,0.29,1,0.14,0,0
茨城県,1,0.08,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0
栃木県,3,0.43,0,0,0,0,0,0,0,0,2,0.29,1,0.14,0,0,0,0,0,0
群馬県,1,0.11,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,16,1.33,1,0.08,0,0,1,0.08,0,0,1,0.08,3,0.25,6,0.5,3,0.25,1,0.08
千葉県,1,0.11,0,0,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0
東京都,26,1.04,1,0.04,0,0,0,0,0,0,1,0.04,2,0.08,1,0.04,9,0.36,12,0.48
神奈川県,9,0.75,0,0,0,0,1,0.08,1,0.08,0,0,1,0.08,3,0.25,0,0,3,0.25
新潟県,2,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.15
富山県,2,0.4,0,0,0,0,1,0.2,1,0.2,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,3,0.25,0,0,0,0,0,0,0,0,1,0.08,0,0,1,0.08,0,0,1,0.08
岐阜県,3,0.6,0,0,0,0,0,0,0,0,0,0,1,0.2,1,0.2,0,0,1,0.2
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,9,0.6,0,0,0,0,0,0,0,0,1,0.07,2,0.13,1,0.07,0,0,5,0.33
三重県,1,0.11,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,38,2.24,2,0.11,1,0.06,1,0.06,1,0.06,8,0.44,7,0.39,6,0.43,5,0.28,7,0.39
兵庫県,15,1.07,0,0,3,0.21,1,0.07,0,0,3,0.21,0,0,2,0.14,4,0.29,2,0.14
奈良県,3,0.5,0,0,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0,2,0.33
和歌山県,5,0.45,0,0,0,0,0,0,2,0.18,0,0,0,0,1,0.09,0,0,2,0.18
鳥取県,1,0.2,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,3,0.6,0,0,0,0,0,0,0,0,3,0.6,0,0,0,0,0,0,0,0
広島県,20,1,0,0,0,0,1,0.05,0,0,3,0.15,1,0.05,2,0.1,3,0.15,10,0.5
山口県,5,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.33,2,0.22
徳島県,1,0.14,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,13,2.17,1,0.17,0,0,1,0.17,2,0.33,0,0,1,0.17,4,0.67,0,0,4,0.67
高知県,3,0.38,1,0.13,0,0,0,0,0,0,0,0,2,0.25,0,0,0,0,0,0
福岡県,12,0.8,0,0,0,0,1,0.07,0,0,3,0.2,1,0.07,1,0.07,3,0.2,3,0.2
佐賀県,7,1.17,0,0,0,0,0,0,0,0,0,0,1,0.17,1,0.17,2,0.33,3,0.5
長崎県,12,1,4,0.33,0,0,0,0,1,0.08,3,0.25,1,0.08,0,0,2,0.17,1,0.08
熊本県,5,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,2,0.13
大分県,7,0.64,0,0,0,0,0,0,0,0,0,0,1,0.09,1,0.09,3,0.27,2,0.18
宮崎県,3,0.43,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,2,0.29,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,2,0.29,0,0,0,0,0,0,0,0,0,0,1,0.14,1,0.14,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
COVID-19,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,245152,50.63,22376,5.33,34963,7.09,27797,5.63,29955,6.07,29932,6.07,28712,5.82,25196,5.19,24431,4.96,21790,4.42
北海道,14399,66.05,2178,11.65,2338,10.53,1470,6.62,1454,6.55,1406,6.33,1721,7.75,1359,6.12,1312,5.91,1161,5.23
青森県,3512,62.71,443,9.43,499,8.6,369,6.36,436,7.52,459,7.91,393,6.78,342,5.9,338,5.83,233,4.02
岩手県,4409,71.11,747,12.05,795,12.82,583,9.4,488,7.87,465,7.5,461,7.44,335,5.4,287,4.63,248,4
宮城県,5979,65.7,401,4.41,1091,11.99,782,8.59,840,9.23,764,8.4,648,7.12,584,6.42,491,5.4,378,4.15
